NIS-CODE;GEMEENTE;TOTAAL BEVOLKING
11001;AARTSELAAR;14281
11002;ANTWERPEN;502604
11004;BOECHOUT;12724
11005;BOOM;17166
11007;BORSBEEK;10233
11008;BRASSCHAAT;37301
11009;BRECHT;27906
11013;EDEGEM;21064
11016;ESSEN;18075
11018;HEMIKSEM;10605
11021;HOVE;8199
11022;KALMTHOUT;18126
11023;KAPELLEN;26546
11024;KONTICH;20739
11025;LINT;8620
11029;MORTSEL;25143
11030;NIEL;9461
11035;RANST;18463
11037;RUMST;14876
11038;SCHELLE;8088
11039;SCHILDE;19472
11040;SCHOTEN;33766
11044;STABROEK;18028
11050;WIJNEGEM;9041
11052;WOMMELGEM;12386
11053;WUUSTWEZEL;19547
11054;ZANDHOVEN;12580
11055;ZOERSEL;21555
11056;ZWIJNDRECHT;18643
11057;MALLE;14763
12002;BERLAAR;10960
12005;BONHEIDEN;14722
12007;BORNEM;20866
12009;DUFFEL;16941
12014;HEIST-OP-DEN-BERG;40512
12021;LIER;34276
12025;MECHELEN;82325
12026;NIJLEN;22065
12029;PUTTE;16726
12030;PUURS;16704
12034;SINT-AMANDS;8124
12035;SINT-KATELIJNE-WAVER;20349
12040;WILLEBROEK;24825
13001;ARENDONK;12894
13002;BAARLE-HERTOG;2592
13003;BALEN;21570
13004;BEERSE;17167
13006;DESSEL;9231
13008;GEEL;37848
13010;GROBBENDONK;11047
13011;HERENTALS;27368
13012;HERENTHOUT;8747
13013;HERSELT;14399
13014;HOOGSTRATEN;20386
13016;HULSHOUT;10061
13017;KASTERLEE;18132
13019;LILLE;16350
13021;MEERHOUT;9913
13023;MERKSPLAS;8576
13025;MOL;34827
13029;OLEN;11923
13031;OUD-TURNHOUT;12905
13035;RAVELS;14515
13036;RETIE;10799
13037;RIJKEVORSEL;11434
13040;TURNHOUT;41572
13044;VORSELAAR;7640
13046;VOSSELAAR;10700
13049;WESTERLO;24379
13053;LAAKDAL;15533
23002;ASSE;30875
23003;BEERSEL;24244
23009;BEVER;2171
23016;DILBEEK;40388
23023;GALMAARDEN;8535
23024;GOOIK;9181
23025;GRIMBERGEN;35810
23027;HALLE;36852
23032;HERNE;6572
23033;HOEILAART;10539
23038;KAMPENHOUT;11316
23039;KAPELLE-OP-DEN-BOS;9161
23044;LIEDEKERKE;12646
23045;LONDERZEEL;17869
23047;MACHELEN;13738
23050;MEISE;18418
23052;MERCHTEM;15693
23060;OPWIJK;13679
23062;OVERIJSE;24716
23064;PEPINGEN;4417
23077;SINT-PIETERS-LEEUW;32246
23081;STEENOKKERZEEL;11640
23086;TERNAT;15142
23088;VILVOORDE;41005
23094;ZAVENTEM;31715
23096;ZEMST;22249
23097;ROOSDAAL;11260
23098;DROGENBOS;5013
23099;KRAAINEM;13585
23100;LINKEBEEK;4787
23101;SINT-GENESIUS-RODE;17934
23102;WEMMEL;15341
23103;WEZEMBEEK-OPPEM;13830
23104;LENNIK;8915
23105;AFFLIGEM;12615
24001;AARSCHOT;28755
24007;BEGIJNENDIJK;9962
24008;BEKKEVOORT;6079
24009;BERTEM;9638
24011;BIERBEEK;9609
24014;BOORTMEERBEEK;11967
24016;BOUTERSEM;7792
24020;DIEST;23259
24028;GEETBETS;5947
24033;HAACHT;14186
24038;HERENT;20642
24041;HOEGAARDEN;6739
24043;HOLSBEEK;9724
24045;HULDENBERG;9528
24048;KEERBERGEN;12774
24054;KORTENAKEN;7856
24055;KORTENBERG;19391
24059;LANDEN;15546
24062;LEUVEN;97656
24066;LUBBEEK;13953
24086;OUD-HEVERLEE;11046
24094;ROTSELAAR;15963
24104;TERVUREN;21236
24107;TIENEN;32987
24109;TREMELO;14679
24130;ZOUTLEEUW;8252
24133;LINTER;7088
24134;SCHERPENHEUVEL-ZICHEM;22592
24135;TIELT-WINGE;10539
24137;GLABBEEK;5269
31003;BEERNEM;15357
31004;BLANKENBERGE;19337
31005;BRUGGE;117170
31006;DAMME;10844
31012;JABBEKE;13781
31022;OOSTKAMP;22764
31033;TORHOUT;20149
31040;ZEDELGEM;22320
