Postal.Code;Municipality
2000;ANTWERPEN
2018;ANTWERPEN
2020;ANTWERPEN
2030;ANTWERPEN
2040;ANTWERPEN
2040;ANTWERPEN
2040;ANTWERPEN
2040;ANTWERPEN
2050;ANTWERPEN
2060;ANTWERPEN
2070;ZWIJNDRECHT
2070;ZWIJNDRECHT
2100;ANTWERPEN
2110;WIJNEGEM
2140;ANTWERPEN
2150;BORSBEEK
2160;WOMMELGEM
2170;ANTWERPEN
2180;ANTWERPEN
2200;HERENTALS
2200;HERENTALS
2200;HERENTALS
2220;HEIST-OP-DEN-BERG
2220;HEIST-OP-DEN-BERG
2221;HEIST-OP-DEN-BERG
2222;HEIST-OP-DEN-BERG
2222;HEIST-OP-DEN-BERG
2223;HEIST-OP-DEN-BERG
2230;HERSELT
2230;HERSELT
2235;HULSHOUT
2235;HULSHOUT
2235;HULSHOUT
2240;ZANDHOVEN
2240;ZANDHOVEN
2240;ZANDHOVEN
2242;ZANDHOVEN
2243;ZANDHOVEN
2250;OLEN
2260;WESTERLO
2260;WESTERLO
2260;WESTERLO
2260;WESTERLO
2270;HERENTHOUT
2275;LILLE
2275;LILLE
2275;LILLE
2275;LILLE
2280;GROBBENDONK
2288;GROBBENDONK
2290;VORSELAAR
2300;TURNHOUT
2310;RIJKEVORSEL
2320;HOOGSTRATEN
2321;HOOGSTRATEN
2322;HOOGSTRATEN
2323;HOOGSTRATEN
2328;HOOGSTRATEN
2330;MERKSPLAS
2340;BEERSE
2340;BEERSE
2350;VOSSELAAR
2360;OUD-TURNHOUT
2370;ARENDONK
2380;RAVELS
2381;RAVELS
2382;RAVELS
2387;BAARLE-HERTOG
2390;MALLE
2390;MALLE
2390;MALLE
2400;MOL
2430;LAAKDAL
2430;LAAKDAL
2430;LAAKDAL
2431;LAAKDAL
2431;LAAKDAL
2440;GEEL
2450;MEERHOUT
2460;KASTERLEE
2460;KASTERLEE
2460;KASTERLEE
2470;RETIE
2480;DESSEL
2490;BALEN
2491;BALEN
2500;LIER
2500;LIER
2520;RANST
2520;RANST
2520;RANST
2520;RANST
2530;BOECHOUT
2531;BOECHOUT
2540;HOVE
2547;LINT
2550;KONTICH
2550;KONTICH
2560;NIJLEN
2560;NIJLEN
2560;NIJLEN
2570;DUFFEL
2580;PUTTE
2580;PUTTE
2590;BERLAAR
2590;BERLAAR
2600;ANTWERPEN
2610;ANTWERPEN
2620;HEMIKSEM
2627;SCHELLE
2630;AARTSELAAR
2640;MORTSEL
2650;EDEGEM
2660;ANTWERPEN
2800;MECHELEN
2800;MECHELEN
2801;MECHELEN
2811;MECHELEN
2811;MECHELEN
2812;MECHELEN
2820;BONHEIDEN
2820;BONHEIDEN
2830;WILLEBROEK
2830;WILLEBROEK
2830;WILLEBROEK
2830;WILLEBROEK
2840;RUMST
2840;RUMST
2840;RUMST
2845;NIEL
2850;BOOM
2860;SINT-KATELIJNE-WAVER
2861;SINT-KATELIJNE-WAVER
2870;PUURS
2870;PUURS
2870;PUURS
2870;PUURS
2880;BORNEM
2880;BORNEM
2880;BORNEM
2880;BORNEM
2890;SINT-AMANDS
2890;SINT-AMANDS
2890;SINT-AMANDS
2900;SCHOTEN
2910;ESSEN
2920;KALMTHOUT
2930;BRASSCHAAT
2940;STABROEK
2940;STABROEK
2950;KAPELLEN
2960;BRECHT
2960;BRECHT
2960;BRECHT
2970;SCHILDE
2970;SCHILDE
2980;ZOERSEL
2980;ZOERSEL
2990;WUUSTWEZEL
2990;WUUSTWEZEL
