Postal.Code;Municipality
6000;CHARLEROI
6001;CHARLEROI
6010;CHARLEROI
6020;CHARLEROI
6030;CHARLEROI
6030;CHARLEROI
6031;CHARLEROI
6032;CHARLEROI
6040;CHARLEROI
6041;CHARLEROI
6042;CHARLEROI
6043;CHARLEROI
6044;CHARLEROI
6060;CHARLEROI
6061;CHARLEROI
6110;MONTIGNY-LE-TILLEUL
6111;MONTIGNY-LE-TILLEUL
6120;HAM-SUR-HEURE
6120;HAM-SUR-HEURE
6120;HAM-SUR-HEURE
6120;HAM-SUR-HEURE
6120;HAM-SUR-HEURE
6140;FONTAINE-L'EVEQUE
6141;FONTAINE-L'EVEQUE
6142;FONTAINE-L'EVEQUE
6150;ANDERLUES
6180;COURCELLES
6181;COURCELLES
6182;COURCELLES
6183;COURCELLES
6200;CHATELET
6200;CHATELET
6200;CHATELET
6210;LES BONS VILLERS
6210;LES BONS VILLERS
6210;LES BONS VILLERS
6210;LES BONS VILLERS
6210;LES BONS VILLERS
6211;LES BONS VILLERS
6220;FLEURUS
6220;FLEURUS
6220;FLEURUS
6220;FLEURUS
6221;FLEURUS
6222;FLEURUS
6223;FLEURUS
6224;FLEURUS
6230;PONT-A-CELLES
6230;PONT-A-CELLES
6230;PONT-A-CELLES
6230;PONT-A-CELLES
6230;PONT-A-CELLES
6238;PONT-A-CELLES
6238;PONT-A-CELLES
6240;FARCIENNES
6240;FARCIENNES
6250;AISEAU-PRESLES
6250;AISEAU-PRESLES
6250;AISEAU-PRESLES
6250;AISEAU-PRESLES
6250;AISEAU-PRESLES
6280;GERPINNES
6280;GERPINNES
6280;GERPINNES
6280;GERPINNES
6280;GERPINNES
6280;GERPINNES
6440;FROIDCHAPELLE
6440;FROIDCHAPELLE
6440;FROIDCHAPELLE
6440;FROIDCHAPELLE
6441;FROIDCHAPELLE
6460;CHIMAY
6460;CHIMAY
6460;CHIMAY
6460;CHIMAY
6460;CHIMAY
6460;CHIMAY
6461;CHIMAY
6462;CHIMAY
6463;CHIMAY
6464;CHIMAY
6464;CHIMAY
6464;CHIMAY
6464;CHIMAY
6464;CHIMAY
6470;SIVRY-RANCE
6470;SIVRY-RANCE
6470;SIVRY-RANCE
6470;SIVRY-RANCE
6470;SIVRY-RANCE
6470;SIVRY-RANCE
6500;BEAUMONT
6500;BEAUMONT
6500;BEAUMONT
6500;BEAUMONT
6500;BEAUMONT
6500;BEAUMONT
6500;BEAUMONT
6511;BEAUMONT
