Postal.Code;Municipality
3500;HASSELT
3500;HASSELT
3501;HASSELT
3510;HASSELT
3510;HASSELT
3511;HASSELT
3511;HASSELT
3512;HASSELT
3520;ZONHOVEN
3530;HOUTHALEN-HELCHTEREN
3530;HOUTHALEN-HELCHTEREN
3530;HOUTHALEN-HELCHTEREN
3540;HERK-DE-STAD
3540;HERK-DE-STAD
3540;HERK-DE-STAD
3540;HERK-DE-STAD
3545;HALEN
3545;HALEN
3545;HALEN
3550;HEUSDEN-ZOLDER
3550;HEUSDEN-ZOLDER
3550;HEUSDEN-ZOLDER
3560;LUMMEN
3560;LUMMEN
3560;LUMMEN
3570;ALKEN
3580;BERINGEN
3581;BERINGEN
3582;BERINGEN
3583;BERINGEN
3590;DIEPENBEEK
3600;GENK
3620;LANAKEN
3620;LANAKEN
3620;LANAKEN
3620;LANAKEN
3621;LANAKEN
3630;MAASMECHELEN
3630;MAASMECHELEN
3630;MAASMECHELEN
3630;MAASMECHELEN
3630;MAASMECHELEN
3630;MAASMECHELEN
3630;MAASMECHELEN
3631;MAASMECHELEN
3631;MAASMECHELEN
3640;KINROOI
3640;KINROOI
3640;KINROOI
3640;KINROOI
3650;DILSEN-STOKKEM
3650;DILSEN-STOKKEM
3650;DILSEN-STOKKEM
3650;DILSEN-STOKKEM
3650;DILSEN-STOKKEM
3650;DILSEN-STOKKEM
3660;OPGLABBEEK
3665;AS
3668;AS
3670;MEEUWEN-GRUITRODE
3670;MEEUWEN-GRUITRODE
3670;MEEUWEN-GRUITRODE
3670;MEEUWEN-GRUITRODE
3670;MEEUWEN-GRUITRODE
3670;MEEUWEN-GRUITRODE
3680;MAASEIK
3680;MAASEIK
3680;MAASEIK
3690;ZUTENDAAL
3700;TONGEREN
3700;TONGEREN
3700;TONGEREN
3700;TONGEREN
3700;TONGEREN
3700;TONGEREN
3700;TONGEREN
3700;TONGEREN
3700;TONGEREN
3700;TONGEREN
3700;TONGEREN
3700;TONGEREN
3700;TONGEREN
3700;TONGEREN
3700;TONGEREN
3700;TONGEREN
3700;TONGEREN
3700;TONGEREN
3700;TONGEREN
3717;HERSTAPPE
3720;KORTESSEM
3721;KORTESSEM
3722;KORTESSEM
3723;KORTESSEM
3724;KORTESSEM
3730;HOESELT
3730;HOESELT
3730;HOESELT
3730;HOESELT
3732;HOESELT
3740;BILZEN
3740;BILZEN
3740;BILZEN
3740;BILZEN
3740;BILZEN
3740;BILZEN
3740;BILZEN
3740;BILZEN
3740;BILZEN
3740;BILZEN
3740;BILZEN
3742;BILZEN
3746;BILZEN
3770;RIEMST
3770;RIEMST
3770;RIEMST
3770;RIEMST
3770;RIEMST
3770;RIEMST
3770;RIEMST
3770;RIEMST
3770;RIEMST
3770;RIEMST
3790;VOEREN
3790;VOEREN
3790;VOEREN
3791;VOEREN
3792;VOEREN
3793;VOEREN
3798;VOEREN
3800;SINT-TRUIDEN
3800;SINT-TRUIDEN
3800;SINT-TRUIDEN
3800;SINT-TRUIDEN
3800;SINT-TRUIDEN
3800;SINT-TRUIDEN
3800;SINT-TRUIDEN
3800;SINT-TRUIDEN
3800;SINT-TRUIDEN
3800;SINT-TRUIDEN
3803;SINT-TRUIDEN
3803;SINT-TRUIDEN
3803;SINT-TRUIDEN
3803;SINT-TRUIDEN
3806;SINT-TRUIDEN
3830;WELLEN
3830;WELLEN
3831;WELLEN
3832;WELLEN
3840;BORGLOON
3840;BORGLOON
3840;BORGLOON
3840;BORGLOON
3840;BORGLOON
3840;BORGLOON
3840;BORGLOON
3840;BORGLOON
3840;BORGLOON
3840;BORGLOON
3840;BORGLOON
3840;BORGLOON
3840;BORGLOON
3840;BORGLOON
3840;BORGLOON
3850;NIEUWERKERKEN
3850;NIEUWERKERKEN
3850;NIEUWERKERKEN
3850;NIEUWERKERKEN
3870;HEERS
3870;HEERS
3870;HEERS
3870;HEERS
3870;HEERS
3870;HEERS
3870;HEERS
3870;HEERS
3870;HEERS
3870;HEERS
3870;HEERS
3870;HEERS
3870;HEERS
3890;GINGELOM
3890;GINGELOM
3890;GINGELOM
3890;GINGELOM
3890;GINGELOM
3890;GINGELOM
3890;GINGELOM
3891;GINGELOM
3891;GINGELOM
3891;GINGELOM
3891;GINGELOM
3900;OVERPELT
3910;NEERPELT
3910;NEERPELT
3920;LOMMEL
3930;HAMONT-ACHEL
3930;HAMONT-ACHEL
3930;HAMONT-ACHEL
3940;HECHTEL-EKSEL
3940;HECHTEL-EKSEL
3941;HECHTEL-EKSEL
3945;HAM
3945;HAM
3945;HAM
3950;BOCHOLT
3950;BOCHOLT
3950;BOCHOLT
3960;BREE
3960;BREE
3960;BREE
3960;BREE
3960;BREE
3970;LEOPOLDSBURG
3971;LEOPOLDSBURG
3980;TESSENDERLO
3990;PEER
3990;PEER
3990;PEER
3990;PEER
