Postal.Code;Municipality
4000;LIEGE
4000;LIEGE
4000;LIEGE
4020;LIEGE
4020;LIEGE
4020;LIEGE
4020;LIEGE
4030;LIEGE
4031;LIEGE
4032;LIEGE
4040;HERSTAL
4041;HERSTAL
4041;HERSTAL
4042;HERSTAL
4050;CHAUDFONTAINE
4051;CHAUDFONTAINE
4052;CHAUDFONTAINE
4053;CHAUDFONTAINE
4100;SERAING
4100;SERAING
4101;SERAING
4102;SERAING
4120;NEUPRE
4120;NEUPRE
4120;NEUPRE
4121;NEUPRE
4122;NEUPRE
4130;ESNEUX
4130;ESNEUX
4140;SPRIMONT
4140;SPRIMONT
4140;SPRIMONT
4140;SPRIMONT
4141;SPRIMONT
4160;ANTHISNES
4161;ANTHISNES
4162;ANTHISNES
4163;ANTHISNES
4170;COMBLAIN-AU-PONT
4171;COMBLAIN-AU-PONT
4180;HAMOIR
4180;HAMOIR
4180;HAMOIR
4181;HAMOIR
4190;FERRIERES
4190;FERRIERES
4190;FERRIERES
4190;FERRIERES
4190;FERRIERES
4210;BURDINNE
4210;BURDINNE
4210;BURDINNE
4210;BURDINNE
4210;BURDINNE
4217;HERON
4217;HERON
4217;HERON
4218;HERON
4219;WASSEIGES
4219;WASSEIGES
4219;WASSEIGES
4219;WASSEIGES
4250;GEER
4250;GEER
4250;GEER
4250;GEER
4252;GEER
4253;GEER
4254;GEER
4257;BERLOZ
4257;BERLOZ
4257;BERLOZ
4260;BRAIVES
4260;BRAIVES
4260;BRAIVES
4260;BRAIVES
4260;BRAIVES
4260;BRAIVES
4261;BRAIVES
4263;BRAIVES
4280;HANNUT
4280;HANNUT
4280;HANNUT
4280;HANNUT
4280;HANNUT
4280;HANNUT
4280;HANNUT
4280;HANNUT
4280;HANNUT
4280;HANNUT
4280;HANNUT
4280;HANNUT
4280;HANNUT
4280;HANNUT
4280;HANNUT
4280;HANNUT
4280;HANNUT
4280;HANNUT
4287;LINCENT
4287;LINCENT
4287;LINCENT
4300;WAREMME
4300;WAREMME
4300;WAREMME
4300;WAREMME
4300;WAREMME
4300;WAREMME
4300;WAREMME
4317;FAIMES
4317;FAIMES
4317;FAIMES
4317;FAIMES
4317;FAIMES
4317;FAIMES
4340;AWANS
4340;AWANS
4340;AWANS
4340;AWANS
4342;AWANS
4347;FEXHE-LE-HAUT-CLOCHER
4347;FEXHE-LE-HAUT-CLOCHER
4347;FEXHE-LE-HAUT-CLOCHER
4347;FEXHE-LE-HAUT-CLOCHER
4347;FEXHE-LE-HAUT-CLOCHER
4350;REMICOURT
4350;REMICOURT
4350;REMICOURT
4350;REMICOURT
4351;REMICOURT
4357;DONCEEL
4357;DONCEEL
4357;DONCEEL
4357;DONCEEL
4360;OREYE
4360;OREYE
4360;OREYE
4360;OREYE
4360;OREYE
4367;CRISNEE
4367;CRISNEE
4367;CRISNEE
4367;CRISNEE
4367;CRISNEE
4400;FLEMALLE
4400;FLEMALLE
4400;FLEMALLE
4400;FLEMALLE
4400;FLEMALLE
4400;FLEMALLE
4400;FLEMALLE
4400;FLEMALLE
