Postal.Code;Municipality
6600;BASTOGNE
6600;BASTOGNE
6600;BASTOGNE
6600;BASTOGNE
6600;BASTOGNE
6630;MARTELANGE
6637;FAUVILLERS
6637;FAUVILLERS
6637;FAUVILLERS
6640;VAUX-SUR-SURE
6640;VAUX-SUR-SURE
6640;VAUX-SUR-SURE
6640;VAUX-SUR-SURE
6640;VAUX-SUR-SURE
6640;VAUX-SUR-SURE
6642;VAUX-SUR-SURE
6660;HOUFFALIZE
6660;HOUFFALIZE
6661;HOUFFALIZE
6661;HOUFFALIZE
6662;HOUFFALIZE
6663;HOUFFALIZE
6666;HOUFFALIZE
6670;GOUVY
6670;GOUVY
6671;GOUVY
6672;GOUVY
6673;GOUVY
6674;GOUVY
6680;SAINTE-ODE
6680;SAINTE-ODE
6680;SAINTE-ODE
6681;SAINTE-ODE
6686;BERTOGNE
6687;BERTOGNE
6688;BERTOGNE
6690;VIELSALM
6690;VIELSALM
6692;VIELSALM
6698;VIELSALM
6700;ARLON
6700;ARLON
6700;ARLON
6700;ARLON
6704;ARLON
6706;ARLON
6717;ATTERT
6717;ATTERT
6717;ATTERT
6717;ATTERT
6717;ATTERT
6720;HABAY
6720;HABAY
6720;HABAY
6721;HABAY
6723;HABAY
6724;HABAY
6724;HABAY
6730;TINTIGNY
6730;TINTIGNY
6730;TINTIGNY
6730;TINTIGNY
6740;ETALLE
6740;ETALLE
6740;ETALLE
6741;ETALLE
6742;ETALLE
6743;ETALLE
6747;SAINT-LEGER
6747;SAINT-LEGER
6747;SAINT-LEGER
6750;MUSSON
6750;MUSSON
6750;MUSSON
6760;VIRTON
6760;VIRTON
6760;VIRTON
6760;VIRTON
6761;VIRTON
6762;VIRTON
6767;ROUVROY
6767;ROUVROY
6767;ROUVROY
6767;ROUVROY
6767;ROUVROY
6769;MEIX-DEVANT-VIRTON
6769;MEIX-DEVANT-VIRTON
6769;MEIX-DEVANT-VIRTON
6769;MEIX-DEVANT-VIRTON
6769;MEIX-DEVANT-VIRTON
6780;MESSANCY
6780;MESSANCY
6780;MESSANCY
6781;MESSANCY
6782;MESSANCY
6790;AUBANGE
6791;AUBANGE
6792;AUBANGE
6792;AUBANGE
6800;LIBRAMONT-CHEVIGNY
6800;LIBRAMONT-CHEVIGNY
6800;LIBRAMONT-CHEVIGNY
6800;LIBRAMONT-CHEVIGNY
6800;LIBRAMONT-CHEVIGNY
6800;LIBRAMONT-CHEVIGNY
6800;LIBRAMONT-CHEVIGNY
6800;LIBRAMONT-CHEVIGNY
6810;CHINY
6810;CHINY
6810;CHINY
6811;CHINY
6812;CHINY
6813;CHINY
6820;FLORENVILLE
6820;FLORENVILLE
6820;FLORENVILLE
6820;FLORENVILLE
6821;FLORENVILLE
6823;FLORENVILLE
6824;FLORENVILLE
6830;BOUILLON
6830;BOUILLON
6830;BOUILLON
6830;BOUILLON
6831;BOUILLON
6832;BOUILLON
6833;BOUILLON
6833;BOUILLON
6834;BOUILLON
6836;BOUILLON
6838;BOUILLON
6840;NEUFCHATEAU
6840;NEUFCHATEAU
6840;NEUFCHATEAU
6840;NEUFCHATEAU
6840;NEUFCHATEAU
6840;NEUFCHATEAU
6850;PALISEUL
6850;PALISEUL
6850;PALISEUL
6851;PALISEUL
6852;PALISEUL
6852;PALISEUL
6853;PALISEUL
6856;PALISEUL
6860;LEGLISE
6860;LEGLISE
6860;LEGLISE
6860;LEGLISE
6860;LEGLISE
6870;SAINT-HUBERT
6870;SAINT-HUBERT
6870;SAINT-HUBERT
6870;SAINT-HUBERT
6870;SAINT-HUBERT
6870;SAINT-HUBERT
6880;BERTRIX
6880;BERTRIX
6880;BERTRIX
6880;BERTRIX
6880;BERTRIX
6887;HERBEUMONT
6887;HERBEUMONT
6887;HERBEUMONT
6890;LIBIN
6890;LIBIN
6890;LIBIN
6890;LIBIN
6890;LIBIN
6890;LIBIN
6890;LIBIN
6900;MARCHE-EN-FAMENNE
6900;MARCHE-EN-FAMENNE
6900;MARCHE-EN-FAMENNE
6900;MARCHE-EN-FAMENNE
6900;MARCHE-EN-FAMENNE
6900;MARCHE-EN-FAMENNE
6900;MARCHE-EN-FAMENNE
6920;WELLIN
6920;WELLIN
6921;WELLIN
6922;WELLIN
6924;WELLIN
6927;TELLIN
6927;TELLIN
6927;TELLIN
6927;TELLIN
6929;DAVERDISSE
6929;DAVERDISSE
6929;DAVERDISSE
6929;DAVERDISSE
6940;DURBUY
6940;DURBUY
6940;DURBUY
6940;DURBUY
6940;DURBUY
6941;DURBUY
6941;DURBUY
6941;DURBUY
6941;DURBUY
6941;DURBUY
6941;DURBUY
6941;DURBUY
6950;NASSOGNE
6950;NASSOGNE
6951;NASSOGNE
6952;NASSOGNE
6953;NASSOGNE
6953;NASSOGNE
6953;NASSOGNE
6953;NASSOGNE
6960;MANHAY
6960;MANHAY
6960;MANHAY
6960;MANHAY
6960;MANHAY
6960;MANHAY
6960;MANHAY
6970;TENNEVILLE
6971;TENNEVILLE
6972;TENNEVILLE
6980;LA ROCHE-EN-ARDENNE
6980;LA ROCHE-EN-ARDENNE
6982;LA ROCHE-EN-ARDENNE
6983;LA ROCHE-EN-ARDENNE
6984;LA ROCHE-EN-ARDENNE
6986;LA ROCHE-EN-ARDENNE
6987;RENDEUX
6987;RENDEUX
6987;RENDEUX
6987;RENDEUX
6990;HOTTON
6990;HOTTON
6990;HOTTON
6990;HOTTON
6997;EREZEE
6997;EREZEE
6997;EREZEE
6997;EREZEE
