Postal.Code;Municipality
5000;NAMUR
5000;NAMUR
5001;NAMUR
5002;NAMUR
5003;NAMUR
5004;NAMUR
5020;NAMUR
5020;NAMUR
5020;NAMUR
5020;NAMUR
5020;NAMUR
5020;NAMUR
5020;NAMUR
5021;NAMUR
5022;NAMUR
5024;NAMUR
5024;NAMUR
5030;GEMBLOUX
5030;GEMBLOUX
5030;GEMBLOUX
5030;GEMBLOUX
5030;GEMBLOUX
5030;GEMBLOUX
5031;GEMBLOUX
5032;GEMBLOUX
5032;GEMBLOUX
5032;GEMBLOUX
5032;GEMBLOUX
5032;GEMBLOUX
5060;SAMBREVILLE
5060;SAMBREVILLE
5060;SAMBREVILLE
5060;SAMBREVILLE
5060;SAMBREVILLE
5060;SAMBREVILLE
5060;SAMBREVILLE
5060;SAMBREVILLE
5070;FOSSES-LA-VILLE
5070;FOSSES-LA-VILLE
5070;FOSSES-LA-VILLE
5070;FOSSES-LA-VILLE
5070;FOSSES-LA-VILLE
5070;FOSSES-LA-VILLE
5080;LA BRUYERE
5080;LA BRUYERE
5080;LA BRUYERE
5080;LA BRUYERE
5080;LA BRUYERE
5081;LA BRUYERE
5081;LA BRUYERE
5081;LA BRUYERE
5100;NAMUR
5100;NAMUR
5100;NAMUR
5100;NAMUR
5100;NAMUR
5101;NAMUR
5101;NAMUR
5101;NAMUR
5140;SOMBREFFE
5140;SOMBREFFE
5140;SOMBREFFE
5140;SOMBREFFE
5150;FLOREFFE
5150;FLOREFFE
5150;FLOREFFE
5150;FLOREFFE
5170;PROFONDEVILLE
5170;PROFONDEVILLE
5170;PROFONDEVILLE
5170;PROFONDEVILLE
5170;PROFONDEVILLE
5170;PROFONDEVILLE
5190;JEMEPPE-SUR-SAMBRE
5190;JEMEPPE-SUR-SAMBRE
5190;JEMEPPE-SUR-SAMBRE
5190;JEMEPPE-SUR-SAMBRE
5190;JEMEPPE-SUR-SAMBRE
5190;JEMEPPE-SUR-SAMBRE
5190;JEMEPPE-SUR-SAMBRE
5190;JEMEPPE-SUR-SAMBRE
5300;ANDENNE
5300;ANDENNE
5300;ANDENNE
5300;ANDENNE
5300;ANDENNE
5300;ANDENNE
5300;ANDENNE
5300;ANDENNE
5300;ANDENNE
5300;ANDENNE
5310;EGHEZEE
5310;EGHEZEE
5310;EGHEZEE
5310;EGHEZEE
5310;EGHEZEE
5310;EGHEZEE
5310;EGHEZEE
5310;EGHEZEE
5310;EGHEZEE
5310;EGHEZEE
5310;EGHEZEE
5310;EGHEZEE
5310;EGHEZEE
5310;EGHEZEE
5310;EGHEZEE
5310;EGHEZEE
5330;ASSESSE
5330;ASSESSE
5330;ASSESSE
5332;ASSESSE
5333;ASSESSE
5334;ASSESSE
5336;ASSESSE
5340;GESVES
5340;GESVES
5340;GESVES
5340;GESVES
5340;GESVES
5350;OHEY
5350;OHEY
5351;OHEY
5352;OHEY
5353;OHEY
5354;OHEY
5360;HAMOIS
5360;HAMOIS
5361;HAMOIS
5361;HAMOIS
5362;HAMOIS
5363;HAMOIS
5364;HAMOIS
5370;HAVELANGE
5370;HAVELANGE
5370;HAVELANGE
5370;HAVELANGE
5370;HAVELANGE
5370;HAVELANGE
5372;HAVELANGE
5374;HAVELANGE
5376;HAVELANGE
5377;SOMME-LEUZE
5377;SOMME-LEUZE
5377;SOMME-LEUZE
5377;SOMME-LEUZE
5377;SOMME-LEUZE
5377;SOMME-LEUZE
5377;SOMME-LEUZE
5377;SOMME-LEUZE
5377;SOMME-LEUZE
5380;FERNELMONT
5380;FERNELMONT
5380;FERNELMONT
5380;FERNELMONT
5380;FERNELMONT
5380;FERNELMONT
5380;FERNELMONT
5380;FERNELMONT
5380;FERNELMONT
5380;FERNELMONT
5380;FERNELMONT
5500;DINANT
5500;DINANT
5500;DINANT
5500;DINANT
5500;DINANT
5500;DINANT
5500;DINANT
5501;DINANT
5502;DINANT
5503;DINANT
5504;DINANT
5520;ONHAYE
5520;ONHAYE
5521;ONHAYE
5522;ONHAYE
5523;ONHAYE
5523;ONHAYE
5524;ONHAYE
5530;YVOIR
5530;YVOIR
5530;YVOIR
5530;YVOIR
5530;YVOIR
5530;YVOIR
5530;YVOIR
5530;YVOIR
5530;YVOIR
5537;ANHEE
5537;ANHEE
