Postal.Code;Municipality
9000;GENT
9030;GENT
9031;GENT
9032;GENT
9040;GENT
9041;GENT
9042;GENT
9042;GENT
9042;GENT
9050;GENT
9050;GENT
9051;GENT
9051;GENT
9052;GENT
9060;ZELZATE
9070;DESTELBERGEN
9070;DESTELBERGEN
9080;LOCHRISTI
9080;LOCHRISTI
9080;LOCHRISTI
9080;LOCHRISTI
9090;MELLE
9090;MELLE
9100;SINT-NIKLAAS
9100;SINT-NIKLAAS
9111;SINT-NIKLAAS
9112;SINT-NIKLAAS
9120;BEVEREN
9120;BEVEREN
9120;BEVEREN
9120;BEVEREN
9120;BEVEREN
9130;BEVEREN
9130;BEVEREN
9130;BEVEREN
9130;BEVEREN
9140;TEMSE
9140;TEMSE
9140;TEMSE
9140;TEMSE
9150;KRUIBEKE
9150;KRUIBEKE
9150;KRUIBEKE
9160;LOKEREN
9160;LOKEREN
9160;LOKEREN
9170;SINT-GILLIS-WAAS
9170;SINT-GILLIS-WAAS
9170;SINT-GILLIS-WAAS
9170;SINT-GILLIS-WAAS
9180;MOERBEKE
9185;WACHTEBEKE
9190;STEKENE
9190;STEKENE
9200;DENDERMONDE
9200;DENDERMONDE
9200;DENDERMONDE
9200;DENDERMONDE
9200;DENDERMONDE
9200;DENDERMONDE
9200;DENDERMONDE
9200;DENDERMONDE
9220;HAMME
9220;HAMME
9230;WETTEREN
9230;WETTEREN
9230;WETTEREN
9240;ZELE
9250;WAASMUNSTER
9255;BUGGENHOUT
9255;BUGGENHOUT
9260;WICHELEN
9260;WICHELEN
9260;WICHELEN
9270;LAARNE
9270;LAARNE
9280;LEBBEKE
9280;LEBBEKE
9280;LEBBEKE
9290;BERLARE
9290;BERLARE
9290;BERLARE
9300;AALST
9308;AALST
9308;AALST
9310;AALST
9310;AALST
9310;AALST
9310;AALST
9320;AALST
9320;AALST
9340;LEDE
9340;LEDE
9340;LEDE
9340;LEDE
9340;LEDE
9400;NINOVE
9400;NINOVE
9400;NINOVE
9400;NINOVE
9400;NINOVE
9400;NINOVE
9400;NINOVE
9401;NINOVE
9402;NINOVE
9403;NINOVE
9404;NINOVE
9406;NINOVE
9420;ERPE-MERE
9420;ERPE-MERE
9420;ERPE-MERE
9420;ERPE-MERE
9420;ERPE-MERE
9420;ERPE-MERE
9420;ERPE-MERE
9420;ERPE-MERE
9420;ERPE-MERE
9450;HAALTERT
9450;HAALTERT
9450;HAALTERT
9451;HAALTERT
9470;DENDERLEEUW
9472;DENDERLEEUW
9473;DENDERLEEUW
9500;GERAARDSBERGEN
9500;GERAARDSBERGEN
9500;GERAARDSBERGEN
9500;GERAARDSBERGEN
9500;GERAARDSBERGEN
9500;GERAARDSBERGEN
9500;GERAARDSBERGEN
9500;GERAARDSBERGEN
9500;GERAARDSBERGEN
9506;GERAARDSBERGEN
9506;GERAARDSBERGEN
9506;GERAARDSBERGEN
9506;GERAARDSBERGEN
9506;GERAARDSBERGEN
9506;GERAARDSBERGEN
9506;GERAARDSBERGEN
9520;SINT-LIEVENS-HOUTEM
9520;SINT-LIEVENS-HOUTEM
9520;SINT-LIEVENS-HOUTEM
9520;SINT-LIEVENS-HOUTEM
9520;SINT-LIEVENS-HOUTEM
9521;SINT-LIEVENS-HOUTEM
9550;HERZELE
9550;HERZELE
9550;HERZELE
9550;HERZELE
9550;HERZELE
9550;HERZELE
9551;HERZELE
9552;HERZELE
9570;LIERDE
9570;LIERDE
9570;LIERDE
9571;LIERDE
9572;LIERDE
9600;RONSE
9620;ZOTTEGEM
9620;ZOTTEGEM
9620;ZOTTEGEM
9620;ZOTTEGEM
9620;ZOTTEGEM
9620;ZOTTEGEM
9620;ZOTTEGEM
9620;ZOTTEGEM
9620;ZOTTEGEM
9620;ZOTTEGEM
9620;ZOTTEGEM
9630;ZWALM
9630;ZWALM
9630;ZWALM
9630;ZWALM
9630;ZWALM
9630;ZWALM
9630;ZWALM
9630;ZWALM
9630;ZWALM
9630;ZWALM
9630;ZWALM
9630;ZWALM
9636;ZWALM
9660;BRAKEL
9660;BRAKEL
9660;BRAKEL
9660;BRAKEL
9660;BRAKEL
9660;BRAKEL
9660;BRAKEL
9660;BRAKEL
9661;BRAKEL
9667;HOREBEKE
9667;HOREBEKE
9667;HOREBEKE
9680;MAARKEDAL
9680;MAARKEDAL
9680;MAARKEDAL
9681;MAARKEDAL
9688;MAARKEDAL
9690;KLUISBERGEN
9690;KLUISBERGEN
9690;KLUISBERGEN
9690;KLUISBERGEN
9690;KLUISBERGEN
9700;OUDENAARDE
9700;OUDENAARDE
9700;OUDENAARDE
9700;OUDENAARDE
9700;OUDENAARDE
9700;OUDENAARDE
9700;OUDENAARDE
9700;OUDENAARDE
9700;OUDENAARDE
9700;OUDENAARDE
9700;OUDENAARDE
9700;OUDENAARDE
9700;OUDENAARDE
9700;OUDENAARDE
9750;ZINGEM
9750;ZINGEM
9750;ZINGEM
9770;KRUISHOUTEM
9771;KRUISHOUTEM
9772;KRUISHOUTEM
9790;WORTEGEM-PETEGEM
9790;WORTEGEM-PETEGEM
9790;WORTEGEM-PETEGEM
9790;WORTEGEM-PETEGEM
9790;WORTEGEM-PETEGEM
9790;WORTEGEM-PETEGEM
9800;DEINZE
9800;DEINZE
9800;DEINZE
9800;DEINZE
9800;DEINZE
9800;DEINZE
9800;DEINZE
9800;DEINZE
9800;DEINZE
9800;DEINZE
9800;DEINZE
9810;NAZARETH
9810;NAZARETH
9820;MERELBEKE
9820;MERELBEKE
9820;MERELBEKE
9820;MERELBEKE
9820;MERELBEKE
9820;MERELBEKE
9830;SINT-MARTENS-LATEM
9831;SINT-MARTENS-LATEM
9840;DE PINTE
9840;DE PINTE
9850;NEVELE
9850;NEVELE
9850;NEVELE
9850;NEVELE
9850;NEVELE
9850;NEVELE
9860;OOSTERZELE
9860;OOSTERZELE
9860;OOSTERZELE
9860;OOSTERZELE
9860;OOSTERZELE
9860;OOSTERZELE
9870;ZULTE
9870;ZULTE
9870;ZULTE
9880;AALTER
9880;AALTER
9880;AALTER
9881;AALTER
9890;GAVERE
9890;GAVERE
9890;GAVERE
9890;GAVERE
9890;GAVERE
9890;GAVERE
9900;EEKLO
9910;KNESSELARE
9910;KNESSELARE
9920;LOVENDEGEM
9921;LOVENDEGEM
9930;ZOMERGEM
9931;ZOMERGEM
9932;ZOMERGEM
9940;EVERGEM
9940;EVERGEM
9940;EVERGEM
9940;EVERGEM
9950;WAARSCHOOT
9960;ASSENEDE
9961;ASSENEDE
9968;ASSENEDE
9968;ASSENEDE
9970;KAPRIJKE
9971;KAPRIJKE
9980;SINT-LAUREINS
9981;SINT-LAUREINS
9982;SINT-LAUREINS
9988;SINT-LAUREINS
9988;SINT-LAUREINS
9990;MALDEGEM
9991;MALDEGEM
9992;MALDEGEM
