Postal.Code;Municipality
1500;HALLE
1501;HALLE
1502;HALLE
1540;HERNE
1540;HERNE
1541;HERNE
1547;BEVER
1560;HOEILAART
1570;GALMAARDEN
1570;GALMAARDEN
1570;GALMAARDEN
1600;SINT-PIETERS-LEEUW
1600;SINT-PIETERS-LEEUW
1600;SINT-PIETERS-LEEUW
1601;SINT-PIETERS-LEEUW
1602;SINT-PIETERS-LEEUW
1620;DROGENBOS
1630;LINKEBEEK
1640;SINT-GENESIUS-RODE
1650;BEERSEL
1651;BEERSEL
1652;BEERSEL
1653;BEERSEL
1654;BEERSEL
1670;PEPINGEN
1670;PEPINGEN
1670;PEPINGEN
1671;PEPINGEN
1673;PEPINGEN
1674;PEPINGEN
1700;DILBEEK
1700;DILBEEK
1700;DILBEEK
1701;DILBEEK
1702;DILBEEK
1703;DILBEEK
1730;ASSE
1730;ASSE
1730;ASSE
1730;ASSE
1731;ASSE
1731;ASSE
1740;TERNAT
1741;TERNAT
1742;TERNAT
1745;OPWIJK
1745;OPWIJK
1750;LENNIK
1750;LENNIK
1750;LENNIK
1750;LENNIK
1755;GOOIK
1755;GOOIK
1755;GOOIK
1755;GOOIK
1760;ROOSDAAL
1760;ROOSDAAL
1760;ROOSDAAL
1760;ROOSDAAL
1761;ROOSDAAL
1770;LIEDEKERKE
1780;WEMMEL
1785;MERCHTEM
1785;MERCHTEM
1785;MERCHTEM
1790;AFFLIGEM
1790;AFFLIGEM
1790;AFFLIGEM
1790;AFFLIGEM
1800;VILVOORDE
1800;VILVOORDE
1820;STEENOKKERZEEL
1820;STEENOKKERZEEL
1820;STEENOKKERZEEL
1830;MACHELEN
1831;MACHELEN
1840;LONDERZEEL
1840;LONDERZEEL
1840;LONDERZEEL
1850;GRIMBERGEN
1851;GRIMBERGEN
1852;GRIMBERGEN
1853;GRIMBERGEN
1860;MEISE
1861;MEISE
1880;KAPELLE-OP-DEN-BOS
1880;KAPELLE-OP-DEN-BOS
1880;KAPELLE-OP-DEN-BOS
1910;KAMPENHOUT
1910;KAMPENHOUT
1910;KAMPENHOUT
1910;KAMPENHOUT
1930;ZAVENTEM
1930;ZAVENTEM
1932;ZAVENTEM
1933;ZAVENTEM
1950;KRAAINEM
1970;WEZEMBEEK-OPPEM
1980;ZEMST
1980;ZEMST
1981;ZEMST
1982;ZEMST
1982;ZEMST
3000;LEUVEN
3001;LEUVEN
3010;LEUVEN
3012;LEUVEN
3018;LEUVEN
3020;HERENT
3020;HERENT
3020;HERENT
3040;HULDENBERG
3040;HULDENBERG
3040;HULDENBERG
3040;HULDENBERG
3040;HULDENBERG
3050;OUD-HEVERLEE
3051;OUD-HEVERLEE
3052;OUD-HEVERLEE
3053;OUD-HEVERLEE
3054;OUD-HEVERLEE
3060;BERTEM
3060;BERTEM
3061;BERTEM
3070;KORTENBERG
3071;KORTENBERG
3078;KORTENBERG
3078;KORTENBERG
3080;TERVUREN
3080;TERVUREN
3080;TERVUREN
3090;OVERIJSE
3110;ROTSELAAR
3111;ROTSELAAR
3118;ROTSELAAR
3120;TREMELO
3128;TREMELO
3130;BEGIJNENDIJK
3130;BEGIJNENDIJK
3140;KEERBERGEN
3150;HAACHT
3150;HAACHT
3150;HAACHT
3190;BOORTMEERBEEK
3191;BOORTMEERBEEK
3200;AARSCHOT
3200;AARSCHOT
3201;AARSCHOT
3202;AARSCHOT
3210;LUBBEEK
3210;LUBBEEK
3211;LUBBEEK
3212;LUBBEEK
3220;HOLSBEEK
3220;HOLSBEEK
3220;HOLSBEEK
3221;HOLSBEEK
3270;SCHERPENHEUVEL-ZICHEM
3270;SCHERPENHEUVEL-ZICHEM
3271;SCHERPENHEUVEL-ZICHEM
3271;SCHERPENHEUVEL-ZICHEM
3272;SCHERPENHEUVEL-ZICHEM
3272;SCHERPENHEUVEL-ZICHEM
3290;DIEST
3290;DIEST
3290;DIEST
3290;DIEST
3293;DIEST
3294;DIEST
3300;TIENEN
3300;TIENEN
3300;TIENEN
3300;TIENEN
3300;TIENEN
3300;TIENEN
3300;TIENEN
3300;TIENEN
3300;TIENEN
3320;HOEGAARDEN
3320;HOEGAARDEN
3321;HOEGAARDEN
3350;LINTER
3350;LINTER
3350;LINTER
3350;LINTER
3350;LINTER
3350;LINTER
3350;LINTER
3350;LINTER
3360;BIERBEEK
3360;BIERBEEK
3360;BIERBEEK
3360;BIERBEEK
3370;BOUTERSEM
3370;BOUTERSEM
3370;BOUTERSEM
3370;BOUTERSEM
3370;BOUTERSEM
3370;BOUTERSEM
3380;GLABBEEK
3380;GLABBEEK
3381;GLABBEEK
3384;GLABBEEK
3390;TIELT-WINGE
3390;TIELT-WINGE
3390;TIELT-WINGE
3390;TIELT-WINGE
3391;TIELT-WINGE
3400;LANDEN
3400;LANDEN
3400;LANDEN
3400;LANDEN
3400;LANDEN
3400;LANDEN
3400;LANDEN
3400;LANDEN
3401;LANDEN
3401;LANDEN
3401;LANDEN
3401;LANDEN
3404;LANDEN
3404;LANDEN
3440;ZOUTLEEUW
3440;ZOUTLEEUW
3440;ZOUTLEEUW
3440;ZOUTLEEUW
3440;ZOUTLEEUW
3450;GEETBETS
3450;GEETBETS
3454;GEETBETS
3460;BEKKEVOORT
3460;BEKKEVOORT
3461;BEKKEVOORT
3470;KORTENAKEN
3470;KORTENAKEN
3470;KORTENAKEN
3471;KORTENAKEN
3472;KORTENAKEN
3473;KORTENAKEN
