Postal.Code;Municipality
1300;WAVRE
1300;WAVRE
1301;WAVRE
1310;LA HULPE
1315;INCOURT
1315;INCOURT
1315;INCOURT
1315;INCOURT
1315;INCOURT
1320;BEAUVECHAIN
1320;BEAUVECHAIN
1320;BEAUVECHAIN
1320;BEAUVECHAIN
1320;BEAUVECHAIN
1325;CHAUMONT-GISTOUX
1325;CHAUMONT-GISTOUX
1325;CHAUMONT-GISTOUX
1325;CHAUMONT-GISTOUX
1325;CHAUMONT-GISTOUX
1330;RIXENSART
1331;RIXENSART
1332;RIXENSART
1340;OTTIGNIES-LOUVAIN-LA-NEUVE
1340;OTTIGNIES-LOUVAIN-LA-NEUVE
1341;OTTIGNIES-LOUVAIN-LA-NEUVE
1342;OTTIGNIES-LOUVAIN-LA-NEUVE
1348;OTTIGNIES-LOUVAIN-LA-NEUVE
1350;ORP-JAUCHE
1350;ORP-JAUCHE
1350;ORP-JAUCHE
1350;ORP-JAUCHE
1350;ORP-JAUCHE
1350;ORP-JAUCHE
1350;ORP-JAUCHE
1350;ORP-JAUCHE
1357;HELECINE
1357;HELECINE
1357;HELECINE
1357;HELECINE
1360;PERWEZ
1360;PERWEZ
1360;PERWEZ
1360;PERWEZ
1360;PERWEZ
1367;RAMILLIES
1367;RAMILLIES
1367;RAMILLIES
1367;RAMILLIES
1367;RAMILLIES
1367;RAMILLIES
1367;RAMILLIES
1367;RAMILLIES
1370;JODOIGNE
1370;JODOIGNE
1370;JODOIGNE
1370;JODOIGNE
1370;JODOIGNE
1370;JODOIGNE
1370;JODOIGNE
1370;JODOIGNE
1370;JODOIGNE
1370;JODOIGNE
1380;LASNE
1380;LASNE
1380;LASNE
1380;LASNE
1380;LASNE
1380;LASNE
1390;GREZ-DOICEAU
1390;GREZ-DOICEAU
1390;GREZ-DOICEAU
1390;GREZ-DOICEAU
1390;GREZ-DOICEAU
1400;NIVELLES
1400;NIVELLES
1401;NIVELLES
1402;NIVELLES
1404;NIVELLES
1410;WATERLOO
1420;BRAINE-L'ALLEUD
1421;BRAINE-L'ALLEUD
1428;BRAINE-L'ALLEUD
1430;REBECQ
1430;REBECQ
1430;REBECQ
1430;REBECQ
1435;MONT-SAINT-GUIBERT
1435;MONT-SAINT-GUIBERT
1435;MONT-SAINT-GUIBERT
1440;BRAINE-LE-CHATEAU
1440;BRAINE-LE-CHATEAU
1450;CHASTRE
1450;CHASTRE
1450;CHASTRE
1450;CHASTRE
1450;CHASTRE
1457;WALHAIN
1457;WALHAIN
1457;WALHAIN
1457;WALHAIN
1460;ITTRE
1460;ITTRE
1461;ITTRE
1470;GENAPPE
1470;GENAPPE
1470;GENAPPE
1471;GENAPPE
1472;GENAPPE
1473;GENAPPE
1474;GENAPPE
1476;GENAPPE
1480;TUBIZE
1480;TUBIZE
1480;TUBIZE
1480;TUBIZE
1490;COURT-SAINT-ETIENNE
1495;VILLERS-LA-VILLE
1495;VILLERS-LA-VILLE
1495;VILLERS-LA-VILLE
1495;VILLERS-LA-VILLE
1495;VILLERS-LA-VILLE
