Postal.Code;Municipality
8000;BRUGGE
8000;BRUGGE
8020;OOSTKAMP
8020;OOSTKAMP
8020;OOSTKAMP
8020;OOSTKAMP
8200;BRUGGE
8200;BRUGGE
8210;ZEDELGEM
8210;ZEDELGEM
8210;ZEDELGEM
8211;ZEDELGEM
8300;KNOKKE-HEIST
8300;KNOKKE-HEIST
8300;KNOKKE-HEIST
8301;KNOKKE-HEIST
8301;KNOKKE-HEIST
8310;BRUGGE
8310;BRUGGE
8340;DAMME
8340;DAMME
8340;DAMME
8340;DAMME
8340;DAMME
8340;DAMME
8370;BLANKENBERGE
8370;BLANKENBERGE
8377;ZUIENKERKE
8377;ZUIENKERKE
8377;ZUIENKERKE
8377;ZUIENKERKE
8380;BRUGGE
8380;BRUGGE
8380;BRUGGE
8400;OOSTENDE
8400;OOSTENDE
8400;OOSTENDE
8420;DE HAAN
8420;DE HAAN
8420;DE HAAN
8421;DE HAAN
8430;MIDDELKERKE
8431;MIDDELKERKE
8432;MIDDELKERKE
8433;MIDDELKERKE
8433;MIDDELKERKE
8433;MIDDELKERKE
8433;MIDDELKERKE
8434;MIDDELKERKE
8434;MIDDELKERKE
8450;BREDENE
8460;OUDENBURG
8460;OUDENBURG
8460;OUDENBURG
8460;OUDENBURG
8470;GISTEL
8470;GISTEL
8470;GISTEL
8470;GISTEL
8480;ICHTEGEM
8480;ICHTEGEM
8480;ICHTEGEM
8490;JABBEKE
8490;JABBEKE
8490;JABBEKE
8490;JABBEKE
8490;JABBEKE
8500;KORTRIJK
8501;KORTRIJK
8501;KORTRIJK
8510;KORTRIJK
8510;KORTRIJK
8510;KORTRIJK
8510;KORTRIJK
8511;KORTRIJK
8520;KUURNE
8530;HARELBEKE
8531;HARELBEKE
8531;HARELBEKE
8540;DEERLIJK
8550;ZWEVEGEM
8551;ZWEVEGEM
8552;ZWEVEGEM
8553;ZWEVEGEM
8554;ZWEVEGEM
8560;WEVELGEM
8560;WEVELGEM
8560;WEVELGEM
8570;ANZEGEM
8570;ANZEGEM
8570;ANZEGEM
